geo_id,name,median_rent,median_income,total_renters,pct_burdened,tract,county,rent_to_income
1400000US17031010100,Census Tract 101; Cook County; Illinois,1168.0,74145.0,1596,48.9,101,Cook County,18.9
1400000US17031010201,Census Tract 102.01; Cook County; Illinois,1378.0,63056.0,2047,42.9,102.01,Cook County,26.2
1400000US17031010202,Census Tract 102.02; Cook County; Illinois,1323.0,53220.0,889,59.5,102.02,Cook County,29.8
1400000US17031010300,Census Tract 103; Cook County; Illinois,1431.0,73105.0,2176,44.2,103,Cook County,23.5
1400000US17031010400,Census Tract 104; Cook County; Illinois,1347.0,54083.0,1632,51.4,104,Cook County,29.9
1400000US17031010501,Census Tract 105.01; Cook County; Illinois,1195.0,48833.0,2065,53.3,105.01,Cook County,29.4
1400000US17031010502,Census Tract 105.02; Cook County; Illinois,1383.0,63125.0,1222,54.2,105.02,Cook County,26.3
1400000US17031010503,Census Tract 105.03; Cook County; Illinois,1273.0,32443.0,1301,49.6,105.03,Cook County,47.1
1400000US17031010600,Census Tract 106; Cook County; Illinois,1556.0,72500.0,1802,50.0,106,Cook County,25.8
1400000US17031010701,Census Tract 107.01; Cook County; Illinois,1390.0,74813.0,835,51.3,107.01,Cook County,22.3
1400000US17031010702,Census Tract 107.02; Cook County; Illinois,1415.0,61724.0,1606,37.8,107.02,Cook County,27.5
1400000US17031020100,Census Tract 201; Cook County; Illinois,1411.0,64904.0,993,47.2,201,Cook County,26.1
1400000US17031020200,Census Tract 202; Cook County; Illinois,1398.0,120625.0,345,30.7,202,Cook County,13.9
1400000US17031020301,Census Tract 203.01; Cook County; Illinois,1336.0,78385.0,566,56.0,203.01,Cook County,20.5
1400000US17031020302,Census Tract 203.02; Cook County; Illinois,1632.0,71250.0,674,61.6,203.02,Cook County,27.5
1400000US17031020400,Census Tract 204; Cook County; Illinois,1463.0,73790.0,851,51.0,204,Cook County,23.8
1400000US17031020500,Census Tract 205; Cook County; Illinois,1346.0,37819.0,1570,56.3,205,Cook County,42.7
1400000US17031020601,Census Tract 206.01; Cook County; Illinois,1477.0,64127.0,1263,41.7,206.01,Cook County,27.6
1400000US17031020602,Census Tract 206.02; Cook County; Illinois,1627.0,89663.0,610,52.5,206.02,Cook County,21.8
1400000US17031020701,Census Tract 207.01; Cook County; Illinois,1719.0,108568.0,254,35.8,207.01,Cook County,19.0
1400000US17031020702,Census Tract 207.02; Cook County; Illinois,1441.0,63906.0,1337,41.5,207.02,Cook County,27.1
1400000US17031020801,Census Tract 208.01; Cook County; Illinois,1331.0,74931.0,1260,47.9,208.01,Cook County,21.3
1400000US17031020802,Census Tract 208.02; Cook County; Illinois,1500.0,68725.0,1250,46.2,208.02,Cook County,26.2
1400000US17031020901,Census Tract 209.01; Cook County; Illinois,1518.0,56291.0,1400,59.1,209.01,Cook County,32.4
1400000US17031020902,Census Tract 209.02; Cook County; Illinois,1323.0,45547.0,764,46.2,209.02,Cook County,34.9
1400000US17031030101,Census Tract 301.01; Cook County; Illinois,1267.0,48929.0,1672,64.8,301.01,Cook County,31.1
1400000US17031030102,Census Tract 301.02; Cook County; Illinois,1199.0,59826.0,1238,52.7,301.02,Cook County,24.0
1400000US17031030103,Census Tract 301.03; Cook County; Illinois,1268.0,49545.0,787,54.3,301.03,Cook County,30.7
1400000US17031030104,Census Tract 301.04; Cook County; Illinois,1505.0,41823.0,730,60.1,301.04,Cook County,43.2
1400000US17031030200,Census Tract 302; Cook County; Illinois,1588.0,108466.0,1254,36.1,302,Cook County,17.6
1400000US17031030300,Census Tract 303; Cook County; Illinois,1124.0,68933.0,958,39.2,303,Cook County,19.6
1400000US17031030400,Census Tract 304; Cook County; Illinois,1467.0,98909.0,802,31.5,304,Cook County,17.8
1400000US17031030500,Census Tract 305; Cook County; Illinois,1778.0,127055.0,1400,23.0,305,Cook County,16.8
1400000US17031030601,Census Tract 306.01; Cook County; Illinois,1228.0,52917.0,1443,61.1,306.01,Cook County,27.8
1400000US17031030603,Census Tract 306.03; Cook County; Illinois,1185.0,49674.0,1181,38.9,306.03,Cook County,28.6
1400000US17031030604,Census Tract 306.04; Cook County; Illinois,1416.0,51688.0,1672,57.0,306.04,Cook County,32.9
1400000US17031030701,Census Tract 307.01; Cook County; Illinois,1105.0,44948.0,730,55.5,307.01,Cook County,29.5
1400000US17031030702,Census Tract 307.02; Cook County; Illinois,1466.0,60603.0,589,55.5,307.02,Cook County,29.0
1400000US17031030703,Census Tract 307.03; Cook County; Illinois,1387.0,74702.0,1304,45.6,307.03,Cook County,22.3
1400000US17031030706,Census Tract 307.06; Cook County; Illinois,1799.0,52167.0,1277,60.1,307.06,Cook County,41.4
1400000US17031030800,Census Tract 308; Cook County; Illinois,1657.0,105585.0,1125,36.7,308,Cook County,18.8
